Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Sample_Name
1.8,13764,13766.5,1233,1232.7,1233.1,10611.5,10675.6,10710.9,3321,3320.2,3320.7,6196.8,6198,6198.2,21839.2,21843.2,11754.6,11754,5627.9,5626.8,5626.2,1141.7,1141.8,1141.8,4114.8,4114.4,4114.1,3605.3,3605.1,3605.3,14687.1,14677,60433.3,60430.8,100464.1,100633.2,100748.2,1621.8,1621.3,1622.2,6881.7,6882.4,6883.5,7845.2,7844.2,7845.4,27355.5,27345.6,14660.8,14662.4,2716.9,2716.7,2716.6,5178.3,5178.1,5178.7,2276.2,2275.4,2275.3,2162.6,2162,2162.2,11563.7,11567.6,40.209999,31.5,0.9
3.6,13760.3,13758.3,1233,1232.6,1233,10611.1,10676.3,10709.5,3320.8,3320.6,3320.7,6195.9,6197.6,6199,21833.3,21836.4,11747,11747,5626.1,5625.2,5625.8,1141.7,1141.6,1141.7,4114.6,4113.7,4113.4,3604.9,3604.8,3605.4,14683.4,14687.5,60412.1,60480.6,100648.5,100556.6,100575.3,1621.9,1621.5,1622.1,6883.8,6882.9,6882,7844.9,7840.6,7846.7,27375.1,27379.7,14665.4,14660.5,2718,2717.7,2717.6,5178.9,5178.1,5177.9,2276.1,2275.2,2275.3,2162.7,2162.3,2162.1,11566.4,11568.7,40.189999,31.52,0.9
5.4,13766.2,13757.9,1233,1232.7,1233.2,10611.5,10676,10708.9,3321.2,3320.7,3321.3,6195.9,6195.7,6198.8,21833.3,21830.8,11749.6,11752.8,5626.9,5626.3,5626.6,1141.8,1141.8,1141.8,4114.1,4113.3,4112.7,3604.6,3604.4,3604.6,14679.4,14678.6,60420.7,60493.2,100628.1,100739.7,100701.3,1622,1621.4,1622.2,6881,6881.9,6881.5,7845.1,7844.9,7842.1,27366.9,27378.3,14667,14666.4,2717.3,2717,2717.2,5178.7,5178.1,5178,2275.8,2275.2,2275.1,2162.6,2162.4,2162.4,11564.4,11567.2,40.23,31.530001,0.9
7.2,13762.2,13760.9,1232.9,1232.6,1233,10609,10674.5,10708.1,3321.1,3320.7,3321,6195.6,6197.8,6199.2,21853.9,21828.4,11742.8,11747.1,5626.2,5626.3,5626.2,1141.6,1141.7,1141.8,4114.7,4113.5,4112.6,3604.4,3604.4,3604.9,14682.9,14681,60488.9,60532.3,100721.8,100621.3,100548.1,1621.6,1621.2,1622,6881.6,6881.7,6882.3,7840.4,7842,7844.7,27373.9,27364.9,14659.6,14656.2,2716.8,2716.5,2716.8,5177.9,5178,5178.3,2275.9,2275.2,2275.3,2162.1,2161.7,2161.5,11566.5,11568.4,40.240002,31.52,0.9
9,13756.9,13756.3,1232.9,1232.6,1233,10606.1,10669.5,10708.5,3320.8,3320.5,3320.9,6196.2,6196.6,6199.1,21827.4,21835.7,11741.6,11747,5625,5625.5,5625.1,1141.4,1141.8,1141.9,4116.3,4114.2,4114.4,3605.1,3604.4,3604.8,14676.9,14677.4,60391.2,60376.2,100640,100436.9,100546.5,1621.9,1621.4,1622.2,6884,6883.4,6883.8,7845.7,7848.3,7849,27345.1,27360.7,14661.3,14659.9,2716.4,2716.4,2716.8,5177.4,5177.6,5178.9,2275.9,2275.1,2275.5,2162.7,2162.2,2162.1,11562.9,11567,40.23,31.49,0.9
10.8,13758.4,13766.2,1232.9,1232.5,1232.9,10609.4,10673.8,10709.1,3320.8,3320.4,3320.5,6196.6,6197.1,6199.1,21826.3,21813.6,11747.4,11748.1,5626.4,5625.5,5626.4,1141.7,1141.7,1141.7,4116.2,4115.7,4115.4,3605.4,3605.6,3605.6,14677.9,14675.1,60452.3,60439.1,101324.8,100685.1,100699.6,1622.1,1621.7,1622.5,6883.8,6883.2,6882.3,7848.5,7848.4,7854.2,27360.4,27361.1,14664.4,14659.8,2717.2,2716.7,2716.6,5178.2,5178,5178,2275.7,2275,2275,2162.5,2162,2162,11558,11563.4,40.240002,31.5,0.9
12.6,13756.7,13758.5,1232.9,1232.7,1233,10609.1,10673.7,10708.6,3320.6,3320,3320.5,6198.3,6199.2,6201.1,21838.6,21826.2,11749.5,11754.6,5626.3,5626.2,5625.3,1141.8,1141.8,1142,4118.5,4117.5,4117.8,3605.4,3605.3,3605.8,14678.7,14679.2,60398.3,60465.5,100402.2,100577,100615.3,1622.1,1621.6,1622.4,6886.8,6885.4,6886.6,7855.7,7861.1,7855.7,27376.3,27366.9,14661.2,14655.4,2717,2716.4,2717,5176.1,5177.3,5177.7,2275.7,2274.8,2274.7,2162.6,2162.3,2162.2,11566,11563.7,40.240002,31.530001,0.9
14.4,13763.4,13762.6,1233,1232.7,1232.9,10610.5,10675.6,10710.1,3320.2,3320.2,3320.4,6198.8,6199.2,6200.2,21837.3,21827.6,11743.3,11742,5626.7,5625.7,5626.7,1141.6,1141.7,1141.8,4120.4,4119.5,4119.7,3605.6,3605.6,3605.6,14682.5,14681.3,60437.3,60453.6,100666.4,100591.5,100565.1,1622.4,1622,1622.6,6886.2,6886.8,6886.4,7858.2,7856,7858,27356.7,27363.2,14658.9,14665.2,2717,2716.4,2716.7,5177.8,5179.1,5177.4,2275.8,2274.8,2275,2162.8,2162.1,2162,11558.5,11563,40.23,31.549999,0.9
16.2,13756,13758.2,1232.9,1232.6,1233,10615.3,10679.3,10715,3320.6,3320.2,3320.5,6201.1,6200.8,6202.3,21831.4,21827.1,11747.9,11746.1,5625.5,5625.6,5625.6,1141.9,1142,1142.2,4120.9,4120,4119.7,3606.2,3605.8,3606.2,14681,14678.2,60454.8,60392.4,100425.9,100739.7,100621.3,1622.6,1622.1,1622.9,6887.5,6886.9,6886.7,7865.1,7865.3,7863.9,27352.7,27359.9,14665.7,14659.6,2717.5,2717.1,2716.8,5178.2,5178.6,5178.7,2276,2275.3,2275.1,2162.7,2162,2161.9,11563,11568.4,40.200001,31.52,0.9
18,13762.1,13759.5,1232.9,1232.6,1233,10617.7,10680.6,10718.2,3320.8,3320.7,3320.6,6203.8,6205.1,6206.5,21848.7,21837.9,11753.7,11750.6,5625,5625.1,5625.6,1141.9,1141.9,1142.1,4121.6,4121.4,4121.4,3606.8,3606.5,3607,14684.4,14679.6,60474.8,60575.8,100706.4,100738,100773,1622.8,1622.3,1623.1,6886.8,6886.1,6888.6,7866,7864.9,7863.8,27370,27363.8,14664.8,14663.6,2718.6,2717.9,2718,5178.3,5178.5,5177.8,2276.2,2275.3,2275.3,2162.5,2162.2,2162.1,11561.4,11564.5,40.25,31.52,0.9
