Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch50,Ch51,Ch52,Ch53,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Sample_Name
19.8,13573.2,13570.4,1201.6,1201.3,1201.8,7259.3,7221.4,7193,3300.6,3300.2,3300.3,4835.4,4835.1,4834.9,21555,21551.9,12348.9,12349.3,5888.2,5887.4,5887.7,1069.4,1069.5,1069.6,3231.5,3231.4,3231.8,2901.7,2901.4,2902.1,13662.3,13659.8,59647.7,59648.3,85526.9,85485.7,85469.4,1395.1,1394.4,1394.8,5452.4,5451.4,5451.1,5464.6,5463.3,5463.4,28745.9,28742.6,14641.7,14639.6,2353.8,2352.7,2352.4,4991.9,4992.4,4992.2,2026.3,2026,2026.4,1950,1950,1950.2,11270.1,11271,37.43,30.77,0.1
21.6,13569,13567.8,1201.6,1201.4,1201.7,7257.4,7219.8,7191.7,3300,3299.7,3299.8,4834.7,4834.8,4834.7,21553.2,21556.6,12345.3,12345.7,5887.3,5887.6,5887.1,1069.2,1069.5,1069.7,3231,3230.9,3231.9,2901.9,2901.9,2902.4,13661.8,13658.6,59632.7,59630.5,85521.8,85500.6,85513.9,1395.1,1394.3,1394.8,5452.5,5450.6,5451.3,5465.1,5463.1,5463,28744.7,28744.8,14643.5,14646.1,2353.6,2353.3,2353.3,4991.2,4991.6,4991.8,2026.6,2026.1,2026.4,1949.7,1949.2,1949.6,11266.4,11268,37.439999,30.74,0.1
23.4,13569.7,13569.5,1201.3,1201.1,1201.5,7253.5,7217.4,7190.1,3299.8,3299.6,3299.8,4835.2,4835,4834.5,21557.5,21560.8,12337.7,12338.8,5885.9,5885.9,5886.3,1069.2,1069.4,1069.6,3230.9,3230.1,3230.7,2901.9,2901.4,2901.5,13657.5,13658.9,59588.4,59584,85445.7,85459.5,85428.9,1395.1,1394.4,1394.8,5451.1,5450.7,5450.6,5464.2,5462.8,5463,28737.5,28737.7,14640.4,14637.2,2353.8,2353,2352.6,4990.6,4990.6,4991.1,2026.7,2026.3,2026.4,1949.8,1949.7,1950,11269.8,11267.1,37.43,30.74,0.1
25.2,13571.2,13569.3,1201.3,1201.1,1201.4,7253,7215.3,7187,3299.8,3299.2,3299.6,4834.2,4834.4,4835.4,21560.9,21556.4,12338.6,12337.2,5884.4,5884.5,5885.3,1069.3,1069.5,1069.7,3231.7,3231.4,3231.5,2901.9,2901.3,2901.5,13658,13658.2,59575.8,59584.7,85446.5,85431.6,85420.9,1395,1394.4,1394.9,5451,5450,5449.7,5465.2,5463.4,5463.9,28736.8,28735.3,14640.9,14644.9,2353.9,2353.2,2353.1,4990.8,4990.5,4990.6,2026.5,2026.1,2026.3,1949.5,1949.3,1949.8,11267.8,11267.2,37.450001,30.76,0.1
27,13568.2,13568.7,1201.2,1201,1201.4,7250.8,7213.6,7185.4,3299.3,3298.9,3299.3,4832.8,4833.1,4834.3,21551.8,21552.2,12336.9,12338.6,5885.1,5884.6,5884.8,1069.3,1069.4,1069.7,3230.2,3230.9,3230.6,2901.5,2901.1,2901.4,13655.6,13657.3,59574.9,59595.1,85473,85473.4,85444.9,1395.1,1394.3,1394.8,5450.4,5450.2,5449.2,5464.4,5460.7,5457.5,28731.9,28733.6,14641,14637,2353.3,2352.4,2352.4,4988.7,4989.2,4989.3,2026.4,2025.8,2025.9,1949.5,1949.6,1949.5,11268.4,11269.2,37.470001,30.719999,0.1
28.8,13569.8,13568.8,1201,1200.7,1201.2,7249.1,7211.5,7183.1,3299,3298.8,3299.1,4832.9,4832.9,4833.6,21552.3,21550.8,12340.1,12341.1,5884,5884,5883.9,1069.1,1069.4,1069.5,3231.7,3231.6,3231.4,2901.2,2901.1,2901.2,13654.7,13656.4,59577.6,59580.9,85426.6,85439.5,85451.1,1395,1394.2,1394.4,5449.6,5448.8,5449.2,5459.9,5464,5464.3,28730.2,28739.6,14630.2,14630.5,2353.4,2353,2352.6,4989.6,4989.2,4989.6,2026.1,2025.8,2025.9,1949.5,1949.3,1949.9,11261.8,11264.8,37.490002,30.76,0.1
30.6,13569.9,13567.1,1200.9,1200.7,1201.1,7247.4,7210.1,7181.6,3299.2,3298.6,3299.2,4833.3,4832.8,4833.4,21560.5,21552.9,12336.7,12336.1,5884.1,5883.7,5883.6,1069.3,1069.3,1069.4,3230.7,3231.2,3232,2901.1,2900.6,2900.7,13652.2,13652.2,59559.8,59554.4,85360.1,85420.6,85439.5,1395.2,1394.5,1394.7,5449.5,5449,5448.9,5464.4,5464.5,5464.3,28725.7,28726.9,14639.5,14635.5,2353.7,2353.1,2353.3,4989.5,4989,4989,2026.4,2026.3,2026.3,1949.2,1948.8,1949.3,11264,11263.7,37.52,30.74,0.1
32.4,13569.1,13568.4,1200.8,1200.6,1201,7245.9,7208.4,7180.1,3298.9,3298.3,3298.5,4832.8,4832,4832.4,21553,21557.5,12334.1,12335.9,5882.9,5882.8,5882.8,1069,1069.3,1069.6,3230.7,3230.7,3230.7,2900.9,2900.2,2900.8,13655.5,13650,59601.3,59585,85376.3,85386,85392.9,1395,1394.3,1394.6,5448.9,5448.8,5449.3,5457.5,5457.7,5457.6,28722.1,28722,14639.8,14636.2,2354.2,2353.8,2353.5,4989.2,4988.6,4988.9,2026.4,2026,2026.2,1949.4,1949.1,1949.5,11264.5,11264.9,37.540001,30.73,0.1
34.2,13569.7,13568.2,1200.8,1200.6,1201,7244.1,7207.1,7178.4,3298.2,3297.6,3298.1,4834.4,4833.2,4833.7,21549.3,21556.7,12333.8,12331.6,5882.6,5883.1,5882.7,1069.1,1069.4,1069.6,3230.9,3230.3,3230.5,2901,2900.8,2901.1,13652.8,13652.5,59590.2,59585.1,85309.9,85451.1,85414.7,1394.8,1394.1,1394.5,5450.3,5448.6,5450.1,5462.7,5460.6,5460.6,28721.7,28721.5,14636.5,14636.7,2353.5,2352.1,2352.9,4988.5,4988.3,4988.1,2026.3,2025.9,2026.1,1949.1,1949.2,1949.4,11262.4,11260.7,37.509998,30.74,0.1
36,13568.9,13567,1200.7,1200.5,1200.8,7243.1,7205.3,7176.7,3298.3,3297.7,3297.7,4833.4,4833.6,4833.8,21553.5,21551.8,12330.3,12335.6,5882.2,5882.2,5882.7,1069,1069.3,1069.5,3230.9,3230.8,3231.5,2900.9,2900,2900.6,13652.9,13654.3,59568.1,59552.1,85322.5,85303.8,85391.6,1394.6,1394,1394.5,5448.3,5447.5,5447.5,5460,5459.4,5459.4,28727.1,28720.3,14633.6,14637.8,2353.7,2352.7,2352.5,4987.8,4987.8,4988.3,2026.3,2026.2,2026.1,1949.2,1949.2,1949.2,11261.1,11259.6,37.52,30.77,0.1
